product_id,category,color,style_tags,brand
P0001,shoes,green,boho,H&M
P0002,jacket,blue,streetwear,H&M
P0003,shoes,gray,casual,None
P0004,hat,yellow,"boho, formal, minimal",Uniqlo
P0005,hat,white,vintage,H&M
P0006,shoes,yellow,"sporty, streetwear, boho",Levis
P0007,jacket,white,"vintage, casual, streetwear",Adidas
P0008,shoes,blue,"boho, formal, minimal",Nike
P0009,skirt,yellow,casual,Uniqlo
P0010,hat,blue,vintage,H&M
P0011,hat,yellow,"casual, formal, minimal",Levis
P0012,shoes,red,"boho, formal, casual",None
P0013,pants,white,boho,Zara
P0014,top,gray,"minimal, sporty",Uniqlo
P0015,jacket,black,boho,Nike
P0016,top,yellow,"formal, sporty",None
P0017,shoes,green,"streetwear, casual",Levis
P0018,dress,white,streetwear,Nike
P0019,dress,yellow,"vintage, formal",Nike
P0020,top,black,"minimal, formal",Adidas
P0021,top,black,"minimal, formal, sporty",Levis
P0022,jacket,white,"casual, minimal, boho",Nike
P0023,dress,green,"vintage, boho",Levis
P0024,hat,green,formal,Levis
P0025,pants,gray,sporty,Levis
P0026,pants,yellow,"sporty, vintage, casual",Zara
P0027,top,yellow,"boho, minimal, sporty",H&M
P0028,hat,blue,"formal, sporty",Zara
P0029,shoes,blue,minimal,Zara
P0030,skirt,gray,minimal,H&M
P0031,pants,white,"casual, vintage, formal",Zara
P0032,skirt,red,"casual, streetwear, formal",None
P0033,top,blue,"streetwear, formal, sporty",H&M
P0034,skirt,beige,"formal, casual",Nike
P0035,skirt,white,"minimal, formal",Uniqlo
P0036,shoes,red,minimal,None
P0037,shoes,beige,"boho, streetwear",Levis
P0038,shoes,blue,"sporty, casual, vintage",Levis
P0039,skirt,blue,"minimal, streetwear",Nike
P0040,skirt,black,"minimal, casual",Uniqlo
P0041,skirt,yellow,"casual, vintage, sporty",Levis
P0042,dress,blue,"sporty, boho, casual",Uniqlo
P0043,shoes,black,"formal, sporty, streetwear",Uniqlo
P0044,pants,green,vintage,Zara
